,ARREST_DATE,LAW_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude,Longitude,Zipcode
363285,08/21/2018,PL 1202000,<18,M,BLACK,40.83959223200003,-73.92632964799998,10452
112334,08/02/2017,PL 1401500,18-24,M,BLACK,40.757068060000044,-73.99910267299998,10018
351363,09/08/2018,PL 1552500,18-24,M,WHITE HISPANIC,40.729082038000044,-73.98878770099995,10003
108328,08/07/2017,LOC000000V,18-24,F,BLACK,40.690367239000075,-73.98973896399998,11201
345794,09/17/2018,PL 1553005,<18,M,BLACK HISPANIC,40.814852894000076,-73.95631335299998,10027
316074,11/04/2018,PL 1600500,18-24,M,BLACK,40.71567057300007,-73.98394174399994,10002
118624,07/25/2017,PL 1702500,25-44,M,BLACK HISPANIC,40.79512178500005,-73.94515921299995,10029
435880,05/04/2018,PL 1450001,25-44,M,WHITE,40.58132575900004,-73.975953142,11224
381240,07/25/2018,PL 1950500,45-64,F,WHITE,40.76230220600007,-73.97445831899995,10019
437257,05/02/2018,VTL119202X,25-44,M,WHITE,40.72134465200002,-73.87387582899999,11379
141029,06/25/2017,PL 2200300,25-44,M,BLACK,40.74016077500005,-73.97657424399995,10016
522579,01/09/2018,PL 2200300,25-44,F,WHITE,40.56405077000005,-74.18727065099996,10312
139623,06/27/2017,PL 1601503,25-44,M,WHITE HISPANIC,40.810398494000026,-73.92489531099994,10454
341738,09/23/2018,PL 2601001,25-44,M,WHITE,40.63036654500007,-73.97371261299999,11230
294405,12/10/2018,PL 1552500,45-64,F,BLACK HISPANIC,40.81060389800007,-73.94331855899995,10037
218969,03/21/2017,PL 2200300,25-44,M,WHITE,40.58509537700007,-74.15593184399995,10314
289226,12/19/2018,PL 2200300,25-44,M,WHITE HISPANIC,40.74082451100002,-73.97426085799998,10016
295492,12/08/2018,PL 1654501,45-64,F,BLACK,40.78874407400008,-73.97053356999999,10024
357667,08/29/2018,PL 1252501,25-44,M,WHITE HISPANIC,40.86940749200004,-73.87999831299999,10467
452784,04/11/2018,PL 1553001,25-44,F,WHITE,40.645022746000045,-74.077216847,10301
1094,12/29/2017,PL 1450502,45-64,M,BLACK,40.66702483500006,-73.93129282599993,11213
88170,09/03/2017,PL 1553008,18-24,M,WHITE HISPANIC,40.75284305900004,-73.88392588999993,11372
141163,06/25/2017,VTL0511003,25-44,M,BLACK HISPANIC,40.82346581100006,-73.92443614599993,10451
101773,08/15/2017,PL 2211001,25-44,M,BLACK,40.69145835300003,-73.79791433399998,11433
21149,11/29/2017,PL 2200602,25-44,M,WHITE,40.70513304900004,-73.79340412999993,11433
