,PROPNAME,ACRES,ZIPCODE,RETIRED,SUBCATEGOR,BOROUGH,Index
0,Soundview Park,13.26414583,10473,False,Large Park Zone,X,1
1,Herman A Macneil Park,13.39815928,11356,False,Large Park Zone,Q,2
2,Broadway Malls,1.3099774,10023,False,Large Park Zone,M,3
3,Riverside Park,4.74732206,10024,False,Flagship Park Zone,M,4
4,Rockaway Beach & Boardwalk,7.22511939,11694,False,Beach Zone,Q,5
5,Coney Island Beach & Boardwalk,7.80185143,11224,False,Beach Zone,B,6
6,Randalls Island,50.21548914,10035,False,Flagship Park Zone,M,7
7,Flushing Meadows Park,63.89820249,11368,False,Flagship Park Zone,Q,8
8,Ocean Parkway (5.5 Miles),4.02011885,11223,False,Large Park Zone,B,9
9,Pelham Bay Park,144.87186164,10464,False,Flagship Park Zone,X,10
10,Battery Park,2.63462252,10004,False,Sitting Area/Triangle/Mall,M,11
11,Prospect Park,14.52757069,11215,False,Flagship Park Zone,B,12
12,Kissena Corridor Park,14.24278998,11355,False,Large Park Zone,Q,13
13,Pelham Bay Park,116.75400948,10464,False,Flagship Park Zone,X,14
14,Riverside Park,7.22027628,10027,False,Flagship Park Zone,M,15
15,Bronx & Pelham Pkwy(2.5 Miles),12.65570562,10461,False,Large Park Zone,X,16
16,Crotona Park,21.50324096,10457,False,Large Park Zone,X,17
17,Belt Parkway/Shore Parkway,10.80909205,11214,False,Large Park Zone,B,18
18,S.I. Greenbelt,96.9048853,10314,False,Large Park Zone,R,19
19,Randalls Island,66.44805204,10035,False,Flagship Park Zone,M,20
20,Powell'S Cove Park,6.580553299999999,11356,False,Large Park Zone,Q,21
21,Riverside Park,5.01840446,10024,False,Flagship Park Zone,M,22
22,Fort Greene Park,14.127626000000001,11201,False,Large Park Zone,B,23
23,Shore Park And Parkway,15.61011937,11209,False,Large Park Zone,B,24
24,Crotona Park,4.04800522,10460,False,Large Park Zone,X,25
25,Kissena Park,28.39293882,11365,False,Large Park Zone,Q,26
26,Ocean Parkway (5.5 Miles),2.72556024,11218,False,Large Park Zone,B,27
27,Great Kills Park,19.46290393,10306,False,Beach Zone,R,28
28,Rockaway Beach & Boardwalk,10.23420969,11694,False,Beach Zone,Q,29
29,Rockaway Freeway,0.95845574,11692,False,Sitting Area/Triangle/Mall,Q,30
30,Riverside Park,8.9979434,10024,False,Flagship Park Zone,M,31
31,Battery Park,8.91024806,10004,False,Flagship Park Zone,M,32
32,Pelham Bay Park,50.43640261,10465,False,Flagship Park Zone,X,33
33,Flushing Meadows Park,32.77407805,11367,False,Flagship Park Zone,Q,34
34,Central Park,11.02573543,10023,False,Flagship Park Zone,M,35
