zipcode,PERCENT PACIFIC ISLANDER,PERCENT HISPANIC LATINO,PERCENT AMERICAN INDIAN,PERCENT ASIAN NON HISPANIC,PERCENT WHITE NON HISPANIC,PERCENT BLACK NON HISPANIC,PERCENT OTHER ETHNICITY,PERCENT ETHNICITY UNKNOWN,PERCENT ETHNICITY TOTAL,PERCENT PERMANENT RESIDENT ALIEN,PERCENT US CITIZEN,PERCENT OTHER CITIZEN STATUS,PERCENT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS TOTAL,PERCENT RECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,PERCENT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE TOTAL
10001,0,0.36,0,0.07,0.02,0.48,0.07,0,100,0.05,0.95,0,0,100,0.45,0.55,0,100
10002,0,0.03,0,0.8,0.17,0,0,0,100,0.06,0.94,0,0,100,0.06,0.94,0,100
10003,0,0,0,1,0,0,0,0,100,0,1,0,0,100,0,1,0,100
10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,0,0,0,0.5,0,0.5,0,0,100,0.5,0.5,0,0,100,0,1,0,100
10006,0,0.33,0,0,0.17,0.5,0,0,100,0,1,0,0,100,0,1,0,100
10007,0,0,0,1,0,0,0,0,100,0,1,0,0,100,1,0,0,100
10009,0,0,0,1,0,0,0,0,100,0,1,0,0,100,0,1,0,100
10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,0,0.33,0,0,0,0.33,0.33,0,99,0,1,0,0,100,0,1,0,100
10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013,0,0,0,1,0,0,0,0,100,0,1,0,0,100,0.13,0.88,0,100
10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016,0,0.53,0,0,0,0.47,0,0,100,0,1,0,0,100,0.53,0.47,0,100
10017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10018,0,0,0,1,0,0,0,0,100,0.33,0.67,0,0,100,0,1,0,100
10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,0,0,0,1,0,0,0,0,100,0,1,0,0,100,0,1,0,100
10023,0,0.43,0,0.14,0,0.43,0,0,100,0,1,0,0,100,0.71,0.29,0,100
10024,0,0,0,0,0.75,0,0,0.25,100,0,1,0,0,100,0.25,0.75,0,100
10025,0,0.56,0,0,0,0.41,0.04,0,100,0.11,0.89,0,0,100,0.3,0.7,0,100
10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027,0,0.14,0,0.14,0,0.57,0.14,0,99,0.14,0.86,0,0,100,0.14,0.86,0,100
10028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029,0,0.2,0,0,0,0.75,0.05,0,100,0,1,0,0,100,0.4,0.6,0,100
10030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10032,0,0.69,0,0.08,0,0.15,0.08,0,100,0.08,0.92,0,0,100,0.38,0.62,0,100
10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,0,0,0,0.5,0,0.5,0,0,100,0,1,0,0,100,1,0,0,100
10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10038,0,0.13,0,0.56,0,0.31,0,0,100,0.06,0.94,0,0,100,0.19,0.81,0,100
10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10040,0,0.6,0,0.2,0,0.2,0,0,100,0,1,0,0,100,0.4,0.6,0,100
10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10306,0,0,0,1,0,0,0,0,100,0,1,0,0,100,0,1,0,100
10307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10451,0,0.54,0,0.02,0,0.37,0.05,0.02,100,0.07,0.93,0,0,100,0.29,0.71,0,100
10452,0,0.59,0,0,0,0.29,0.06,0.06,100,0,1,0,0,100,0.18,0.82,0,100
10453,0,0.43,0,0,0,0.57,0,0,100,0.14,0.86,0,0,100,0.57,0.43,0,100
10454,0,0.39,0,0.06,0,0.56,0,0,100,0.06,0.94,0,0,100,0.44,0.56,0,100
10455,0,0.19,0,0,0,0.74,0.07,0,100,0.04,0.93,0.04,0,100,0.26,0.74,0,100
10456,0,0.6,0.2,0,0,0,0.2,0,100,0,1,0,0,100,0.2,0.8,0,100
10457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10458,0,0.46,0,0,0.02,0.44,0.06,0.02,100,0.06,0.92,0.02,0,100,0.37,0.63,0,100
10459,0,0.43,0,0,0,0.57,0,0,100,0.29,0.71,0,0,100,0.43,0.57,0,100
10460,0,0.33,0,0,0.04,0.56,0.07,0,100,0.07,0.93,0,0,100,0.52,0.48,0,100
10461,0.02,0.43,0.02,0.02,0.02,0.37,0.1,0.02,100,0.02,0.98,0,0,100,0.43,0.57,0,100
10462,0,0.33,0,0,0,0.67,0,0,100,0,0.67,0.33,0,100,1,0,0,100
10463,0,0.61,0,0,0.03,0.31,0.05,0,100,0.05,0.92,0.03,0,100,0.34,0.66,0,100
10464,0,0.47,0,0.07,0,0.47,0,0,100,0,1,0,0,100,0.47,0.53,0,100
10465,0,0.67,0,0.05,0.19,0.1,0,0,100,0.05,0.95,0,0,100,0.24,0.76,0,100
10466,0.02,0.22,0,0,0,0.77,0,0,100,0.05,0.95,0,0,100,0.26,0.74,0,100
10467,0,0.48,0.01,0.04,0.01,0.44,0.02,0,100,0.09,0.89,0.02,0,100,0.31,0.69,0,100
10468,0,0.43,0,0.04,0,0.44,0.09,0,100,0.02,0.98,0,0,100,0.28,0.72,0,100
10469,0,0.4,0,0,0.1,0.5,0,0,100,0.2,0.8,0,0,100,0.4,0.6,0,100
10471,0,0.63,0,0.02,0.05,0.28,0.02,0,100,0.05,0.95,0,0,100,0.4,0.6,0,100
10472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
